#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),IS ACTIVE
,xorg-server,is the graphical server.,1
,xorg-xwininfo,allows querying information about windows.,1
,xorg-xinit,starts the graphical server.,1
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,1
A,lf-git,is an extensive terminal file manager that everyone likes.,1
,bc,is used for a dropdown calculator.,1
,xcompmgr,is for transparency and removing screen-tearing.,1
,xorg-xprop,is a tool for detecting window properties.,1
,arandr,allows the user to customize monitor arrangements.,1
,dosfstools,allows your computer to access dos-like filesystems.,1
,libnotify,allows desktop notifications.,1
,dunst,is a suckless notification system.,1
,exfat-utils,allows management of FAT drives.,1
,sxiv,is a minimalist image viewer.,1
,xwallpaper,sets the wallpaper.,1
,ffmpeg,can record and splice video and audio on the command line.,1
,gnome-keyring,serves as the system keyring.,1
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.,1
,neovim,a tidier vim with some useful features,1
,mpd,is a lightweight music daemon.,1
,mpc,is a terminal interface for mpd.,1
,mpv,is the patrician's choice video player.,1
,man-db,lets you read man pages of programs.,1
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.,1
,newsboat,is a terminal RSS client.,1
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features.",1
,noto-fonts-emoji,is an emoji font.,1
,ntfs-3g,allows accessing NTFS partitions.,1
,pipewire,is the audio system.,1
,pipewire-pulse,gives pipewire compatibility with PulseAudio programs.,1
,pulsemixer,is an audio controller.,1
,pamixer,is a command-line audio interface.,1
A,sc-im,is an Excel-like terminal spreadsheet manager.,1
,maim,can take quick screenshots at your request.,1
A,abook,is an offline addressbook usable by neomutt.,1
,unclutter,hides an inactive mouse.,1
,unrar,extracts rar's.,1
,unzip,unzips zips.,1
,lynx,is a terminal browser.,1
,xcape,gives the special escape/super mappings of LARBS.,1
,xclip,allows for copying and pasting from the command line.,1
,xdotool,provides window action utilities on the command line.,1
,xorg-xdpyinfo,aids with resolution determination and screen recording.,1
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.,1
,zathura,is a pdf viewer with vim-like bindings.,1
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.,1
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.,1
,mediainfo,shows audio and video information.,1
,atool,manages and gives information about archives.,1
,fzf,is a fuzzy finder tool.,1
,highlight,can highlight code output.,1
,xorg-xbacklight,enables changing screen brightness levels.,0
A,zsh-fast-syntax-highlighting-git,provides syntax highlighting in the shell.,1
A,task-spooler,queues commands or files for download.,1
A,simple-mtpfs,enables the mounting of cell phones.,1
A,htop-vim-git,is a graphical and colorful system monitor.,1
G,https://github.com/LukeSmithxyz/dwmblocks.git,serves as the modular status bar.,1
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection.,1
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator.,1
G,https://github.com/lukesmithxyz/dwm.git,is the window manager.,1
A,mutt-wizard-git,is a light-weight terminal-based email system.,1
,slock,"allows you to lock your computer, and quickly unlock with your password.",1
,socat,is a utility which establishes two byte streams and transfers data between them.,1
,moreutils,is a collection of useful unix tools.,1
,,,1
